id,ship_name,voyage_id,date,effy_share,revenue_ss,revenue_cc,eu_revenue,carnival_share,office_supplies,discount_share,exec_folio,cc_fee_ss,cc_fee_direct,meal_charge,parole_fee,cash_advance,cash_paid_onboard
589,GLORY,GL20220911007,9/11/22,"$25,339.81 ","$16,758.00 ","$26,747.50 ",,"($16,532.09)",,,($254.54),($219.16),($583.10),($576.80),,,
590,GLORY,GL20220918007,9/18/22,"$39,176.53 ","$43,390.00 ","$22,611.00 ",,"($25,080.38)",,,($108.72),($565.65),($492.92),($576.80),,,
591,GLORY,GL20220925007,9/25/22,"$33,988.64 ","$22,273.00 ","$35,380.00 ",,"($21,908.14)",,,($114.24),($293.90),($771.28),($576.80),,,
592,GLORY,GL20221002007,10/2/22,"$16,594.47 ","$19,584.00 ","$8,836.00 ",,"($10,799.60)",,,($135.97),($264.74),($192.62),($432.60),,,
593,GLORY,GL20221009007,10/9/22,"$48,126.61 ","$58,258.00 ","$22,635.00 ",,"($30,739.34)",,,($162.03),($794.78),($493.44),($576.80),,,
594,GLORY,GL20221016007,10/16/22,"$32,653.03 ","$25,085.00 ","$30,449.00 ",,"($21,102.92)",,,($210.72),($326.74),($663.79),($576.80),,,
595,GLORY,GL20221023007,10/23/22,"$64,922.79 ","$87,559.00 ","$20,800.00 ",,"($41,176.42)",,,($187.44),"($1,186.31)",($453.44),($432.60),,,
596,GLORY,GL20221030007,10/30/22,"$34,030.96 ","$35,038.00 ","$22,860.00 ",,"($22,001.24)",,,($156.00),($490.45),($498.35),($721.00),,,
597,GLORY,GL20221106007,11/6/22,"$54,014.32 ","$43,948.00 ","$47,323.00 ",,"($34,682.98)",,,($211.54),($609.52),"($1,031.64)",($721.00),,,
598,GLORY,GL20221113006,11/13/22,"$40,935.04 ","$33,305.00 ","$35,706.00 ",,"($26,224.18)",,,($106.33),($472.66),($778.39),($494.40),,,
599,GLORY,GL20221119008,11/19/22,"$79,979.33 ","$54,801.00 ","$79,706.00 ",,"($51,112.66)",,,($256.03),($762.19),"($1,737.59)",($659.20),,,
600,GLORY,GL20221127014,11/27/22,"$164,870.57 ","$172,337.00 ","$104,050.00 ",,"($105,027.06)",,,($585.64),"($2,481.84)","($2,268.29)","($1,153.60)",,,
601,GLORY,GL20221211007,12/11/22,"$36,616.68 ","$39,505.00 ","$22,461.00 ",,"($23,547.08)",,,($202.65),($545.45),($494.14),($560.00),,,
